date,actual,position,action
2019-01-02,1045.849976,1045.849976,HOLD
2019-01-03,1016.0599980000001,1045.849976,BUY
2019-01-04,1070.709961,1016.0599980000001,SELL
2019-01-07,1068.390015,1070.709961,HOLD
2019-01-08,1076.280029,1068.390015,HOLD
2019-01-09,1074.660034,1076.280029,HOLD
2019-01-10,1070.329956,1074.660034,HOLD
2019-01-11,1057.189941,1070.329956,HOLD
2019-01-14,1044.689941,1057.189941,BUY
2019-01-15,1077.150024,1044.689941,HOLD
2019-01-16,1080.969971,1077.150024,HOLD
2019-01-17,1089.900024,1080.969971,BUY
2019-01-18,1098.26001,1089.900024,SELL
2019-01-22,1070.52002,1098.26001,SELL
2019-01-23,1075.569946,1070.52002,HOLD
2019-01-24,1073.900024,1075.569946,HOLD
2019-01-25,1090.98999,1073.900024,BUY
2019-01-28,1070.079956,1090.98999,SELL
2019-01-29,1060.619995,1070.079956,HOLD
2019-01-30,1089.060059,1060.619995,HOLD
2019-01-31,1116.369995,1089.060059,HOLD
2019-02-01,1110.75,1116.369995,HOLD
2019-02-04,1132.800049,1110.75,HOLD
2019-02-05,1145.98999,1132.800049,HOLD
2019-02-06,1115.22998,1145.98999,HOLD
2019-02-07,1098.709961,1115.22998,HOLD
2019-02-08,1095.060059,1098.709961,BUY
2019-02-11,1095.01001,1095.060059,BUY
2019-02-12,1121.369995,1095.01001,BUY
2019-02-13,1120.160034,1121.369995,SELL
2019-02-14,1121.670044,1120.160034,BUY
2019-02-15,1113.650024,1121.670044,HOLD
2019-02-19,1118.560059,1113.650024,BUY
2019-02-20,1113.800049,1118.560059,BUY
2019-02-21,1096.969971,1113.800049,BUY
2019-02-22,1110.369995,1096.969971,BUY
2019-02-25,1109.400024,1110.369995,HOLD
2019-02-26,1115.130005,1109.400024,HOLD
2019-02-27,1116.050049,1115.130005,SELL
2019-02-28,1119.920044,1116.050049,SELL
2019-03-01,1140.98999,1119.920044,SELL
2019-03-04,1147.800049,1140.98999,SELL
2019-03-05,1162.030029,1147.800049,SELL
2019-03-06,1157.859985,1162.030029,SELL
2019-03-07,1143.300049,1157.859985,SELL
2019-03-08,1142.319946,1143.300049,HOLD
2019-03-11,1175.76001,1142.319946,HOLD
2019-03-12,1193.199951,1175.76001,HOLD
2019-03-13,1193.319946,1193.199951,HOLD
2019-03-14,1185.550049,1193.319946,HOLD
2019-03-15,1184.459961,1185.550049,BUY
2019-03-18,1184.26001,1184.459961,BUY
2019-03-19,1198.849976,1184.26001,SELL
2019-03-20,1223.969971,1198.849976,BUY
2019-03-21,1231.540039,1223.969971,SELL
2019-03-22,1205.5,1231.540039,SELL
2019-03-25,1193.0,1205.5,HOLD
2019-03-26,1184.619995,1193.0,BUY
2019-03-27,1173.02002,1184.619995,SELL
2019-03-28,1168.48999,1173.02002,BUY
2019-03-29,1173.310059,1168.48999,SELL
2019-04-01,1194.430054,1173.310059,HOLD
2019-04-02,1200.48999,1194.430054,HOLD
2019-04-03,1205.920044,1200.48999,HOLD
2019-04-04,1215.0,1205.920044,HOLD
2019-04-05,1207.150024,1215.0,HOLD
2019-04-08,1203.839966,1207.150024,BUY
2019-04-09,1197.25,1203.839966,BUY
2019-04-10,1202.160034,1197.25,BUY
2019-04-11,1204.619995,1202.160034,SELL
2019-04-12,1217.869995,1204.619995,SELL
2019-04-15,1221.099976,1217.869995,SELL
2019-04-16,1227.130005,1221.099976,HOLD
2019-04-17,1236.339966,1227.130005,HOLD
2019-04-18,1236.369995,1236.339966,HOLD
2019-04-22,1248.839966,1236.369995,HOLD
2019-04-23,1264.550049,1248.839966,HOLD
2019-04-24,1256.0,1264.550049,HOLD
2019-04-25,1263.449951,1256.0,HOLD
2019-04-26,1272.180054,1263.449951,HOLD
2019-04-29,1287.579956,1272.180054,HOLD
